"id"	"hs96"	"name"
"01030329"	"030329"	"Salmonidae, Frozen (Excluding Livers And Roes)"
"01030331"	"030331"	"Flat Fish, Frozen (Excluding Livers And Roes)"
"01030332"	"030332"	"Flat Fish, Frozen (Excluding Livers And Roes)"
"01030333"	"030333"	"Flat Fish, Frozen (Excluding Livers And Roes)"
"01030339"	"030339"	"Flat Fish, Frozen (Excluding Livers And Roes)"
"01030341"	"030341"	"Tunas, Skipjack Or Stripe"
"01030342"	"030342"	"Tunas, Skipjack Or Stripe"
"01030343"	"030343"	"Tunas, Skipjack Or Stripe"
"01030349"	"030349"	"Tunas, Skipjack Or Stripe"
"01030350"	"030350"	"Herrings, Sardines, Sardinella, Brislings Or Sprats, Frozen (Excluding Livers And Roes)"
"01030360"	"030360"	"Cod, Frozen (Excluding Livers And Roes)"
"01030371"	"030371"	"Herrings, Sardines, Sardinella, Brislings Or Sprats, Frozen (Excluding Livers And Roes)"
"01030372"	"030372"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030373"	"030373"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030374"	"030374"	"Mackerel (Scrombrids), Frozen (Excluding Livers And Roes)"
"01030375"	"030375"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030376"	"030376"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030377"	"030377"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030378"	"030378"	"Hake, Frozen (Excluding Livers And Roes)"
"01030379"	"030379"	"Fish, N.E.S., Frozen (Excluding Livers And Roes)"
"01030380"	"030380"	"Fish Livers And Roes, Frozen"
"010304"	"0304"	"Fish fillets, fish meat, mince except liver, roe"
"01030410"	"030410"	"Fish Fillets And Other Fish Meat, Fresh Or Chilled"
"01030420"	"030420"	"Fish Fillets, Frozen"
"01030490"	"030490"	"Fish Meat (Other Than Fillets), Frozen"
"010305"	"0305"	"Fish,cured, smoked, fish meal for human consumption"
"01030510"	"030510"	"Flours, Meals And Pellets Of Fish, Fit For Human Consumption"
"01030520"	"030520"	"Fish Liver And Roes, Dried, Smoked, Salted Or In Brine"
"01030530"	"030530"	"Fish Fillets, Dried, Salted Or In Brine"
"01030541"	"030541"	"Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
"01030542"	"030542"	"Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
"01030549"	"030549"	"Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process"
"01030551"	"030551"	"Cod (Gadus Morhua, Gadus Ogac, Gadus Macrocephalus, Not In Fillets), Dried, Whether Or Not Salted"
"01030559"	"030559"	"Fish, Dried, Whether Or Not Salted, N.E.S."
"01030561"	"030561"	"Fish Salted But Not Dried Or Smoked And Fish In Brine, N.E.S."
"01030562"	"030562"	"Cod (Gadus Morhua, Gadus Ogac, Gadus Macrocephalus) Salted But Not Dried Or Smoked And Cod In Brine"
"01030563"	"030563"	"Anchovies Salted But Not Dried Or Smoked And Anchovies In Brine"
"01030569"	"030569"	"Fish Salted But Not Dried Or Smoked And Fish In Brine, N.E.S."
"010306"	"0306"	"Crustaceans"
"01030611"	"030611"	"Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030612"	"030612"	"Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030613"	"030613"	"Shrimps And Prawns, Frozen"
"01030614"	"030614"	"Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030619"	"030619"	"Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
"01030621"	"030621"	"Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption"
